question,description,category,active,closed,options,outcome,response,full_response,proper
will elon musk visit gaza in 2023 ,if elon musk visits gaza between november 28 and december 31  11 59 pm et  this market will resolve to  yes   otherwise  this market will resolve to  no    for the purpose of this market  a  visit  is defined as elon musk physically entering the terrestrial or maritime territory of gaza  whether or not musk enters gazan airspace during the timeframe of this market will have no bearing on a positive resolution   the primary resolution source for this information will be official information from elon musk or released by his verified social media accounts  e g  https   twitter com elonmusk   however  a consensus of credible reporting will also be used ,['Middle East'],True,True,"['yes', 'no']",No,n a,"{'model': 'llama2form4', 'created_at': '2024-02-04T17:54:46.730940985Z', 'response': 'Please choose an outcome and answer accordingly.', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 30004, 13, 14130, 2725, 29901, 2811, 1260, 265, 3077, 29895, 6493, 15853, 29874, 297, 29871, 29906, 29900, 29906, 29941, 29973, 6418, 29911, 27946, 29901, 6024, 8241, 742, 525, 3782, 2033, 13, 30004, 13, 12148, 6755, 385, 21957, 322, 1234, 16205, 29889], 'total_duration': 15842994083, 'load_duration': 2796987, 'prompt_eval_count': 63, 'prompt_eval_duration': 13547405000, 'eval_count': 9, 'eval_duration': 2291748000}",False
will  ukraine  be said 10 or more times in the 2nd rnc primary debate ,this market will resolve to  yes  if  ukraine  is said 10 or more times by the candidates  in total  during the rnc primary debate scheduled for september 27  2023  otherwise  the market will resolve to  no    pluralization possessive of the word will count toward the resolution of this market  forms such as  ukrainian  will not count    the resolution source is live video of the debate  in case of ambiguity  an official transcript and or a consensus of credible reporting may also be considered   if this event is cancelled or delayed beyond october 27  2023  11 59 pm et  this market will resolve to  no  ,['US politics'],True,True,"['no', 'yes']",No,n a,"{'model': 'llama2form4', 'created_at': '2024-02-04T17:54:57.392607391Z', 'response': 'Please answer with only the chosen option in the format', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 30004, 13, 14130, 2725, 29901, 2811, 376, 29965, 29895, 12096, 29908, 367, 1497, 29871, 29896, 29900, 470, 901, 3064, 297, 278, 29871, 29906, 299, 390, 15868, 7601, 27836, 29973, 6418, 29911, 27946, 29901, 6024, 3782, 742, 525, 8241, 2033, 13, 30004, 13, 12148, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402], 'total_duration': 10657941270, 'load_duration': 369803, 'prompt_eval_count': 36, 'prompt_eval_duration': 8107885000, 'eval_count': 10, 'eval_duration': 2548906000}",False
mlb  atlanta braves vs  seattle mariners 2023 05 19,in the upcoming mlb game  scheduled for may 19 at 7 20 pm et   if the atlanta braves win  the market will resolve to  braves    if the seattle mariners win  the market will resolve to  mariners     if the game is not completed by june 2  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['braves', 'mariners']",Braves,n a,"{'model': 'llama2form4', 'created_at': '2024-02-04T17:55:08.936298759Z', 'response': 'Please answer with only the chosen option in the format', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 30004, 13, 14130, 2725, 29901, 23158, 29933, 29901, 26484, 5032, 1960, 7186, 29889, 27689, 1085, 262, 414, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29945, 29899, 29896, 29929, 6418, 29911, 27946, 29901, 6024, 28183, 1960, 742, 525, 7083, 262, 414, 2033, 13, 30004, 13, 12148, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402], 'total_duration': 11540078980, 'load_duration': 342156, 'prompt_eval_count': 39, 'prompt_eval_duration': 8922806000, 'eval_count': 10, 'eval_duration': 2615859000}",False
mlb  atlanta braves vs  miami marlins 2023 04 25,in the upcoming mlb game  scheduled for april 25 at 7 20 pm et   if the atlanta braves win  the market will resolve to  braves    if the miami marlins win  the market will resolve to  marlins     if the game is not completed by may 9  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['braves', 'marlins']",Braves,n a,"{'model': 'llama2form4', 'created_at': '2024-02-04T17:55:18.675833Z', 'response': 'Please answer with only the chosen option in the format', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 30004, 13, 14130, 2725, 29901, 23158, 29933, 29901, 26484, 5032, 1960, 7186, 29889, 23740, 1085, 29880, 1144, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29946, 29899, 29906, 29945, 6418, 29911, 27946, 29901, 6024, 28183, 1960, 742, 525, 7083, 29880, 1144, 2033, 13, 30004, 13, 12148, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402], 'total_duration': 9735682161, 'load_duration': 350952, 'prompt_eval_count': 31, 'prompt_eval_duration': 7127181000, 'eval_count': 10, 'eval_duration': 2607283000}",False
rams vs  49ers,in the upcoming nfl game  scheduled for september 17  4 05 pm et   if the los angeles rams win  the market will resolve to  rams    if the san francisco 49ers win  the market will resolve to  49ers     if the game is not completed by september 24  2023  11 59 pm et  or it ends in a tie  the market will resolve 50 50 ,['Football'],True,True,"['49ers', 'rams']",49ers,n a,"{'model': 'llama2form4', 'created_at': '2024-02-04T17:55:26.838846469Z', 'response': 'Please choose the most likely outcome of the game between', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 30004, 13, 14130, 2725, 29901, 390, 2232, 7186, 29889, 29871, 29946, 29929, 414, 6418, 29911, 27946, 29901, 6024, 29946, 29929, 414, 742, 525, 29934, 2232, 2033, 13, 30004, 13, 12148, 6755, 278, 1556, 5517, 21957, 310, 278, 3748, 1546], 'total_duration': 8159756198, 'load_duration': 592516, 'prompt_eval_count': 24, 'prompt_eval_duration': 5579189000, 'eval_count': 10, 'eval_duration': 2579125000}",False
finnish presidential election  will jutta urpilainen win ,the 2024 finnish presidential election is scheduled to take place on january 28  2024  with a possible second round on february 11   this market will resolve to  yes  if jutta urpilainen wins  otherwise  this market will resolve to  no    this market includes any potential second round  if the result of this election isn t known by december 31  2024  11 59 59 pm et  the market will resolve to  no    in the case of a two round election  if this candidate is eliminated before the second round this market may immediately resolve to  no    the primary resolution source for this market will be official information from finland  however a consensus of credible reporting will also suffice ,['Elections'],True,True,"['no', 'yes']",No,n a,"{'model': 'llama2form4', 'created_at': '2024-02-04T17:55:36.599642232Z', 'response': 'Please answer with only the chosen option in the format', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 30004, 13, 14130, 2725, 29901, 21189, 728, 7178, 616, 382, 1464, 29901, 2811, 435, 329, 941, 8918, 29886, 309, 475, 264, 5401, 29973, 6418, 29911, 27946, 29901, 6024, 3782, 742, 525, 8241, 2033, 13, 30004, 13, 12148, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402], 'total_duration': 9757962877, 'load_duration': 379560, 'prompt_eval_count': 31, 'prompt_eval_duration': 7193843000, 'eval_count': 10, 'eval_duration': 2562788000}",False
mlb  baltimore orioles vs  oakland athletics 2023 04 11,in the upcoming mlb game  scheduled for april 11 at 6 35 pm et   if the baltimore orioles win  the market will resolve to  orioles    if the oakland athletics win  the market will resolve to  athletics     if the game is not completed by april 25  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['athletics', 'orioles']",Orioles,n a,"{'model': 'llama2form4', 'created_at': '2024-02-04T17:55:48.189361081Z', 'response': 'Please answer with only the chosen option in the format', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 30004, 13, 14130, 2725, 29901, 23158, 29933, 29901, 26767, 11678, 6544, 7186, 29889, 24132, 1049, 28981, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29946, 29899, 29896, 29896, 6418, 29911, 27946, 29901, 6024, 29909, 386, 1026, 1199, 742, 525, 15988, 6544, 2033, 13, 30004, 13, 12148, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402], 'total_duration': 11586188819, 'load_duration': 473842, 'prompt_eval_count': 39, 'prompt_eval_duration': 8933742000, 'eval_count': 10, 'eval_duration': 2650859000}",False
will  eth be above  1700 on april 7 ,this market will resolve to  yes  if the binance 1 minute candle for eth usdt titled 2023 04 07 03 00 in the et timezone  referring to 3 00 am et  has a final  close  price of 1700 01 or higher  or to  no  otherwise   the resolution source for this market is https   www binance com  specifically the eth usdt  close  prices currently available at https   www binance com en trade eth_usdt _from markets theme dark type spot with  1m  and  original  selected on the top bar   to see the  close  prices  mouse over particular candles and look at the value after  close   at the top of the chart  the api url https   api binance com api v3 klines symbol ethusdt interval 1m with relevant startdate and enddate parameters may be used in the event that the chart is unavailable   please note that this market is about the price according to binance eth usdt  not according to other sources or spot markets ,['Prices'],True,True,"['no', 'yes']",Yes,outcome no,"{'model': 'llama2form4', 'created_at': '2024-02-04T17:55:57.510984029Z', 'response': 'Please let me know when you are ready to move', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 30004, 13, 14130, 2725, 29901, 2811, 395, 2544, 29950, 367, 2038, 395, 29896, 29955, 29900, 29900, 373, 3786, 29871, 29955, 29973, 6418, 29911, 27946, 29901, 6024, 3782, 742, 525, 8241, 2033, 13, 30004, 13, 12148, 1235, 592, 1073, 746, 366, 526, 7960, 304, 4337], 'total_duration': 9318306197, 'load_duration': 367406, 'prompt_eval_count': 29, 'prompt_eval_duration': 6730480000, 'eval_count': 10, 'eval_duration': 2586557000}",True
ncaab  alabama crimson tide vs  san diego state aztecs 2023 03 24,in the upcoming ncaab game  scheduled for march 24 at 6 30 pm et   if the alabama crimson tide win  the market will resolve to  alabama    if the san diego state aztecs win  the market will resolve to  san diego state     if the game is not completed by april 10  2023  11 59 59 pm et   the market will resolve 50 50 ,['Basketball'],True,True,"['alabama', 'san diego state']",San Diego State,n a,"{'model': 'llama2form4', 'created_at': '2024-02-04T17:56:10.441404891Z', 'response': 'Please answer the question by providing your prediction for the', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 30004, 13, 14130, 2725, 29901, 405, 5454, 2882, 29901, 26911, 315, 5632, 1100, 323, 680, 7186, 29889, 3087, 16879, 4306, 4709, 371, 2395, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29941, 29899, 29906, 29946, 6418, 29911, 27946, 29901, 6024, 2499, 23758, 742, 525, 22509, 16879, 4306, 2033, 13, 30004, 13, 12148, 1234, 278, 1139, 491, 13138, 596, 18988, 363, 278], 'total_duration': 12927608326, 'load_duration': 466710, 'prompt_eval_count': 45, 'prompt_eval_duration': 10307476000, 'eval_count': 10, 'eval_duration': 2618774000}",False
warriors vs  rockets,in the upcoming nba game  scheduled for november 20 at 10 00 pm et   if the golden state warriors win  the market will resolve to  warriors    if the houston rockets win  the market will resolve to  rockets     if the game is not completed by november 27  2023  11 59 pm et   the market will resolve 50 50 ,['Basketball'],True,True,"['rockets', 'warriors']",Warriors,n a,"{'model': 'llama2form4', 'created_at': '2024-02-04T17:56:18.481161124Z', 'response': 'Please choose the most likely outcome of the game between', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 23084, 919, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 30004, 13, 14130, 2725, 29901, 3362, 28739, 7186, 29889, 8027, 1691, 6418, 29911, 27946, 29901, 6024, 29934, 1698, 1691, 742, 525, 29956, 279, 28739, 2033, 13, 30004, 13, 12148, 6755, 278, 1556, 5517, 21957, 310, 278, 3748, 1546], 'total_duration': 8036468366, 'load_duration': 392441, 'prompt_eval_count': 23, 'prompt_eval_duration': 5409104000, 'eval_count': 10, 'eval_duration': 2626090000}",False
