question,description,category,active,closed,options,outcome,response,full_response,proper
will elon musk visit gaza in 2023 ,if elon musk visits gaza between november 28 and december 31  11 59 pm et  this market will resolve to  yes   otherwise  this market will resolve to  no    for the purpose of this market  a  visit  is defined as elon musk physically entering the terrestrial or maritime territory of gaza  whether or not musk enters gazan airspace during the timeframe of this market will have no bearing on a positive resolution   the primary resolution source for this information will be official information from elon musk or released by his verified social media accounts  e g  https   twitter com elonmusk   however  a consensus of credible reporting will also be used ,['Middle East'],True,True,"['yes', 'no']",No,outcome no,"{'model': 'llama2textform3', 'created_at': '2024-02-04T18:12:19.974460398Z', 'response': 'OUTCOME: No\n', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 14130, 2725, 29901, 2811, 1260, 265, 3077, 29895, 6493, 15853, 29874, 297, 29871, 29906, 29900, 29906, 29941, 29973, 6418, 29911, 27946, 29901, 6024, 8241, 742, 525, 3782, 2033, 13, 30004, 13, 12015, 3217, 2303, 29901, 1939, 13], 'total_duration': 29176545066, 'load_duration': 4394199256, 'prompt_eval_count': 113, 'prompt_eval_duration': 23024114000, 'eval_count': 7, 'eval_duration': 1746692000}",True
will  ukraine  be said 10 or more times in the 2nd rnc primary debate ,this market will resolve to  yes  if  ukraine  is said 10 or more times by the candidates  in total  during the rnc primary debate scheduled for september 27  2023  otherwise  the market will resolve to  no    pluralization possessive of the word will count toward the resolution of this market  forms such as  ukrainian  will not count    the resolution source is live video of the debate  in case of ambiguity  an official transcript and or a consensus of credible reporting may also be considered   if this event is cancelled or delayed beyond october 27  2023  11 59 pm et  this market will resolve to  no  ,['US politics'],True,True,"['no', 'yes']",No,outcome yes,"{'model': 'llama2textform3', 'created_at': '2024-02-04T18:12:30.348708145Z', 'response': 'ANSWER: outcome: Yes\n', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 14130, 2725, 29901, 2811, 376, 29965, 29895, 12096, 29908, 367, 1497, 29871, 29896, 29900, 470, 901, 3064, 297, 278, 29871, 29906, 299, 390, 15868, 7601, 27836, 29973, 6418, 29911, 27946, 29901, 6024, 3782, 742, 525, 8241, 2033, 13, 30004, 13, 2190, 23066, 1001, 29901, 21957, 29901, 3869, 13], 'total_duration': 10368914859, 'load_duration': 2661036, 'prompt_eval_count': 36, 'prompt_eval_duration': 8031763000, 'eval_count': 9, 'eval_duration': 2333020000}",True
mlb  atlanta braves vs  seattle mariners 2023 05 19,in the upcoming mlb game  scheduled for may 19 at 7 20 pm et   if the atlanta braves win  the market will resolve to  braves    if the seattle mariners win  the market will resolve to  mariners     if the game is not completed by june 2  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['braves', 'mariners']",Braves,outcome braves,"{'model': 'llama2textform3', 'created_at': '2024-02-04T18:12:41.67323842Z', 'response': 'OUTCOME: Braves: [Braves', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 14130, 2725, 29901, 23158, 29933, 29901, 26484, 5032, 1960, 7186, 29889, 27689, 1085, 262, 414, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29945, 29899, 29896, 29929, 6418, 29911, 27946, 29901, 6024, 28183, 1960, 742, 525, 7083, 262, 414, 2033, 13, 30004, 13, 12015, 3217, 2303, 29901, 5032, 1960, 29901, 518, 28183, 1960], 'total_duration': 11319825317, 'load_duration': 478576, 'prompt_eval_count': 39, 'prompt_eval_duration': 8710125000, 'eval_count': 10, 'eval_duration': 2604763000}",True
mlb  atlanta braves vs  miami marlins 2023 04 25,in the upcoming mlb game  scheduled for april 25 at 7 20 pm et   if the atlanta braves win  the market will resolve to  braves    if the miami marlins win  the market will resolve to  marlins     if the game is not completed by may 9  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['braves', 'marlins']",Braves,outcome braves,"{'model': 'llama2textform3', 'created_at': '2024-02-04T18:12:51.382965011Z', 'response': 'OUTCOME: Braves: [1]', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 14130, 2725, 29901, 23158, 29933, 29901, 26484, 5032, 1960, 7186, 29889, 23740, 1085, 29880, 1144, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29946, 29899, 29906, 29945, 6418, 29911, 27946, 29901, 6024, 28183, 1960, 742, 525, 7083, 29880, 1144, 2033, 13, 30004, 13, 12015, 3217, 2303, 29901, 5032, 1960, 29901, 518, 29896, 29962], 'total_duration': 9699689426, 'load_duration': 851917, 'prompt_eval_count': 31, 'prompt_eval_duration': 7081818000, 'eval_count': 10, 'eval_duration': 2615940000}",True
rams vs  49ers,in the upcoming nfl game  scheduled for september 17  4 05 pm et   if the los angeles rams win  the market will resolve to  rams    if the san francisco 49ers win  the market will resolve to  49ers     if the game is not completed by september 24  2023  11 59 pm et  or it ends in a tie  the market will resolve 50 50 ,['Football'],True,True,"['49ers', 'rams']",49ers,outcome rams,"{'model': 'llama2textform3', 'created_at': '2024-02-04T18:12:59.737074397Z', 'response': 'OUTCOME: Rams: [49', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 14130, 2725, 29901, 390, 2232, 7186, 29889, 29871, 29946, 29929, 414, 6418, 29911, 27946, 29901, 6024, 29946, 29929, 414, 742, 525, 29934, 2232, 2033, 13, 30004, 13, 12015, 3217, 2303, 29901, 390, 2232, 29901, 518, 29946, 29929], 'total_duration': 8350360805, 'load_duration': 6961199, 'prompt_eval_count': 24, 'prompt_eval_duration': 5620294000, 'eval_count': 10, 'eval_duration': 2721870000}",True
finnish presidential election  will jutta urpilainen win ,the 2024 finnish presidential election is scheduled to take place on january 28  2024  with a possible second round on february 11   this market will resolve to  yes  if jutta urpilainen wins  otherwise  this market will resolve to  no    this market includes any potential second round  if the result of this election isn t known by december 31  2024  11 59 59 pm et  the market will resolve to  no    in the case of a two round election  if this candidate is eliminated before the second round this market may immediately resolve to  no    the primary resolution source for this market will be official information from finland  however a consensus of credible reporting will also suffice ,['Elections'],True,True,"['no', 'yes']",No,outcome yes,"{'model': 'llama2textform3', 'created_at': '2024-02-04T18:13:09.529793921Z', 'response': 'ANSWER: outcome: Yes\n', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 14130, 2725, 29901, 21189, 728, 7178, 616, 382, 1464, 29901, 2811, 435, 329, 941, 8918, 29886, 309, 475, 264, 5401, 29973, 6418, 29911, 27946, 29901, 6024, 3782, 742, 525, 8241, 2033, 13, 30004, 13, 2190, 23066, 1001, 29901, 21957, 29901, 3869, 13], 'total_duration': 9789190367, 'load_duration': 378420, 'prompt_eval_count': 31, 'prompt_eval_duration': 7506853000, 'eval_count': 9, 'eval_duration': 2274291000}",True
mlb  baltimore orioles vs  oakland athletics 2023 04 11,in the upcoming mlb game  scheduled for april 11 at 6 35 pm et   if the baltimore orioles win  the market will resolve to  orioles    if the oakland athletics win  the market will resolve to  athletics     if the game is not completed by april 25  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['athletics', 'orioles']",Orioles,outcome athletics,"{'model': 'llama2textform3', 'created_at': '2024-02-04T18:13:21.20625562Z', 'response': 'OUTCOME: Athletics: 5 - Ori', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 14130, 2725, 29901, 23158, 29933, 29901, 26767, 11678, 6544, 7186, 29889, 24132, 1049, 28981, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29946, 29899, 29896, 29896, 6418, 29911, 27946, 29901, 6024, 29909, 386, 1026, 1199, 742, 525, 15988, 6544, 2033, 13, 30004, 13, 12015, 3217, 2303, 29901, 28981, 29901, 29871, 29945, 448, 11678], 'total_duration': 11673571577, 'load_duration': 585160, 'prompt_eval_count': 39, 'prompt_eval_duration': 9050145000, 'eval_count': 10, 'eval_duration': 2621826000}",True
will  eth be above  1700 on april 7 ,this market will resolve to  yes  if the binance 1 minute candle for eth usdt titled 2023 04 07 03 00 in the et timezone  referring to 3 00 am et  has a final  close  price of 1700 01 or higher  or to  no  otherwise   the resolution source for this market is https   www binance com  specifically the eth usdt  close  prices currently available at https   www binance com en trade eth_usdt _from markets theme dark type spot with  1m  and  original  selected on the top bar   to see the  close  prices  mouse over particular candles and look at the value after  close   at the top of the chart  the api url https   api binance com api v3 klines symbol ethusdt interval 1m with relevant startdate and enddate parameters may be used in the event that the chart is unavailable   please note that this market is about the price according to binance eth usdt  not according to other sources or spot markets ,['Prices'],True,True,"['no', 'yes']",Yes,outcome yes,"{'model': 'llama2textform3', 'created_at': '2024-02-04T18:13:30.554624353Z', 'response': 'OUTCOME: Yes: [$ETH', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 14130, 2725, 29901, 2811, 395, 2544, 29950, 367, 2038, 395, 29896, 29955, 29900, 29900, 373, 3786, 29871, 29955, 29973, 6418, 29911, 27946, 29901, 6024, 3782, 742, 525, 8241, 2033, 13, 30004, 13, 12015, 3217, 2303, 29901, 3869, 29901, 518, 29938, 2544, 29950], 'total_duration': 9344217987, 'load_duration': 396148, 'prompt_eval_count': 29, 'prompt_eval_duration': 6753619000, 'eval_count': 10, 'eval_duration': 2588512000}",True
ncaab  alabama crimson tide vs  san diego state aztecs 2023 03 24,in the upcoming ncaab game  scheduled for march 24 at 6 30 pm et   if the alabama crimson tide win  the market will resolve to  alabama    if the san diego state aztecs win  the market will resolve to  san diego state     if the game is not completed by april 10  2023  11 59 59 pm et   the market will resolve 50 50 ,['Basketball'],True,True,"['alabama', 'san diego state']",San Diego State,n a,"{'model': 'llama2textform3', 'created_at': '2024-02-04T18:13:42.944625156Z', 'response': 'OUTCOME: Alabama: San Diego State\r', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 14130, 2725, 29901, 405, 5454, 2882, 29901, 26911, 315, 5632, 1100, 323, 680, 7186, 29889, 3087, 16879, 4306, 4709, 371, 2395, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29941, 29899, 29906, 29946, 6418, 29911, 27946, 29901, 6024, 2499, 23758, 742, 525, 22509, 16879, 4306, 2033, 13, 30004, 13, 12015, 3217, 2303, 29901, 26911, 29901, 3087, 16879, 4306, 30004], 'total_duration': 12386944754, 'load_duration': 1718048, 'prompt_eval_count': 45, 'prompt_eval_duration': 9832634000, 'eval_count': 10, 'eval_duration': 2551764000}",False
warriors vs  rockets,in the upcoming nba game  scheduled for november 20 at 10 00 pm et   if the golden state warriors win  the market will resolve to  warriors    if the houston rockets win  the market will resolve to  rockets     if the game is not completed by november 27  2023  11 59 pm et   the market will resolve 50 50 ,['Basketball'],True,True,"['rockets', 'warriors']",Warriors,outcome warriors,"{'model': 'llama2textform3', 'created_at': '2024-02-04T18:13:50.901113109Z', 'response': 'ANSWER: Warriors: [War', 'done': True, 'context': [6756, 13, 30004, 13, 3492, 674, 7150, 263, 1139, 5643, 491, 1051, 310, 3987, 22993, 13, 1576, 1139, 674, 367, 758, 17470, 287, 491, 376, 14130, 2725, 6160, 30004, 13, 1576, 3987, 674, 367, 758, 17470, 287, 491, 376, 14094, 27946, 6160, 322, 427, 15603, 1546, 5159, 30004, 13, 9485, 404, 607, 2984, 338, 278, 1556, 5517, 322, 1234, 411, 871, 278, 10434, 2984, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 2984, 29958, 1642, 30004, 13, 6756, 13, 14130, 2725, 29901, 3362, 28739, 7186, 29889, 8027, 1691, 6418, 29911, 27946, 29901, 6024, 29934, 1698, 1691, 742, 525, 29956, 279, 28739, 2033, 13, 30004, 13, 2190, 23066, 1001, 29901, 3362, 28739, 29901, 518, 29956, 279], 'total_duration': 7946468469, 'load_duration': 1103532, 'prompt_eval_count': 23, 'prompt_eval_duration': 5329403000, 'eval_count': 10, 'eval_duration': 2615136000}",True
